N,종목명,code,현재가,전일대비,등락률,거래량,지정일,지정사유,
1,동양3우B,001529,27200,150,-0.55%,1266,2022.01.03,,
2,SK네트웍스우,001745,67400,600,-0.88%,249,2022.01.03,,
3,현대비앤지스틸우,004565,66200,1100,-1.63%,76,2022.01.03,,
4,신원우,009275,36750,0,0.00%,170,2022.01.03,,
5,KG동부제철우,016385,95800,300,+0.31%,123,2022.01.03,,
6,KODEX MSCI EM선물(H),291890,10090,120,-1.18%,213,2022.01.03,,
7,지코,010580,1530,0,0.00%,0,2021.08.20,자본잠식(자본금의 50/100이상 잠식)                        자본잠식(자본금의 50/100이상 잠식),
8,세우글로벌,013000,1600,45,-2.74%,166007,2021.08.18,반기검토의견 의견거절                        반기검토의견 의견거절,
9,쎌마테라퓨틱스,015540,6410,0,0.00%,0,2021.08.18,반기검토의견 의견거절                        반기검토의견 의견거절,
10,하이트론,019490,4070,0,0.00%,27296,2021.08.18,반기검토의견 의견거절                        반기검토의견 의견거절,
11,성안,011300,787,0,0.00%,0,2021.08.17,반기검토의견 의견거절                        반기검토의견 의견거절,
12,센트럴인사이트,2490,0,0.00%,0,2021.08.17,반기검토의견 의견거절                        반기검토의견 의견거절,
13,쌍용차,003620,2770,0,0.00%,0,2021.04.16,감사의견 의견거절                        감사의견 의견거절,
14,JW홀딩스,096760,3540,105,-2.88%,58325,2021.03.26,감사범위제한으로인한 감사의견한정                        감사범위제한으로인한 감사의견한정,
15,JW생명과학,234080,13850,150,-1.07%,22195,2021.03.26,감사범위제한으로인한 감사의견한정                        감사범위제한으로인한 감사의견한정,
16,세기상사,002420,10350,100,+0.98%,53256,2021.03.18,매출액 미달(50억원 미만)                        매출액 미달(50억원 미만),
17,폴루스바이오팜,007630,1225,0,0.00%,0,2020.05.18,감사의견 의견거절                        감사의견 의견거절,
